,hour_of_day,country,device_type,login_success,sessions_per_hour
0,11,US,mobile,True,2
1,22,UK,mobile,True,4
2,18,FR,mobile,True,3
3,16,US,desktop,True,5
4,8,FR,mobile,True,5
5,8,US,desktop,True,7
6,4,DE,mobile,True,3
7,20,DE,desktop,True,6
8,16,US,desktop,True,5
9,18,UK,desktop,True,4
10,1,US,desktop,True,15
11,22,CA,desktop,True,8
12,19,UK,desktop,False,6
13,9,CA,mobile,True,2
14,8,US,mobile,True,3
15,8,US,mobile,True,5
16,10,US,mobile,True,3
17,14,US,mobile,True,5
18,12,UK,mobile,True,4
19,10,FR,mobile,True,4
20,16,CA,mobile,True,4
21,7,UK,mobile,True,2
22,10,AU,desktop,True,6
23,11,CA,mobile,True,5
24,12,FR,desktop,True,2
25,19,UK,mobile,True,1
26,8,US,desktop,True,4
27,14,US,desktop,True,2
28,16,CA,desktop,True,6
29,3,US,desktop,True,7
30,16,US,mobile,True,1
31,8,UK,tablet,True,1
32,5,UK,desktop,True,4
33,21,CA,desktop,True,5
34,22,US,desktop,True,3
35,19,US,mobile,True,3
36,10,CA,desktop,True,8
37,6,AU,mobile,True,2
38,17,CA,mobile,True,2
39,12,FR,mobile,True,3
40,7,DE,desktop,True,5
41,13,UK,mobile,True,3
42,2,US,mobile,True,3
43,20,CA,mobile,True,2
44,9,CA,desktop,True,9
45,17,CA,desktop,True,2
46,10,UK,mobile,True,4
47,14,UK,mobile,True,2
48,14,US,desktop,True,6
49,8,UK,tablet,True,1
50,22,US,desktop,True,8
51,18,DE,mobile,True,2
52,21,US,desktop,True,8
53,20,US,mobile,True,1
54,16,UK,mobile,True,3
55,21,CA,mobile,True,6
56,6,UK,mobile,True,4
57,8,US,desktop,True,6
58,3,UK,mobile,True,0
59,10,US,mobile,True,3
60,11,FR,mobile,True,5
61,9,FR,mobile,True,3
62,19,UK,mobile,True,4
63,11,US,mobile,True,1
64,9,CA,mobile,True,7
65,14,US,desktop,True,5
66,7,UK,desktop,True,8
67,19,US,desktop,True,5
68,5,FR,mobile,True,1
69,23,US,desktop,True,4
70,18,UK,desktop,True,7
71,8,CA,desktop,True,12
72,0,UK,desktop,True,1
73,19,US,mobile,True,3
74,18,AU,tablet,True,4
75,18,UK,mobile,True,3
76,18,CA,mobile,True,3
77,5,US,mobile,True,4
78,11,UK,mobile,True,3
79,7,UK,tablet,True,2
80,20,US,mobile,True,4
81,16,US,mobile,True,5
82,10,DE,desktop,True,1
83,5,US,mobile,True,3
84,10,US,mobile,True,3
85,10,UK,desktop,True,5
86,18,DE,desktop,True,4
87,16,US,mobile,True,2
88,20,UK,desktop,True,4
89,13,US,mobile,True,1
90,7,US,mobile,True,4
91,18,US,mobile,True,5
92,18,DE,mobile,True,3
93,15,US,desktop,True,4
94,18,US,desktop,True,4
95,13,UK,mobile,True,2
96,14,DE,mobile,True,2
97,12,US,desktop,True,1
98,1,UK,mobile,True,5
99,6,US,mobile,True,4
100,2,UK,tablet,True,0
101,16,UK,desktop,True,7
102,10,UK,tablet,True,2
103,13,US,mobile,True,6
104,20,US,desktop,True,5
105,9,US,mobile,True,2
106,12,US,mobile,True,3
107,18,US,mobile,True,5
108,9,DE,mobile,True,3
109,5,AU,mobile,True,3
110,9,AU,mobile,True,1
111,8,FR,mobile,True,2
112,21,CA,desktop,True,3
113,19,CA,mobile,True,1
114,16,US,mobile,True,1
115,20,CA,mobile,True,4
116,19,UK,mobile,True,2
117,8,UK,desktop,True,4
118,20,DE,mobile,True,4
119,14,US,desktop,True,3
120,19,US,mobile,True,3
121,20,FR,mobile,True,3
122,10,US,desktop,True,5
123,7,UK,desktop,True,4
124,9,FR,mobile,True,2
125,12,CA,desktop,True,5
126,19,UK,mobile,True,5
127,20,US,desktop,True,5
128,0,US,desktop,True,2
129,14,FR,desktop,True,6
130,12,UK,tablet,True,5
131,9,UK,mobile,False,2
132,7,US,desktop,True,5
133,10,US,mobile,True,3
134,21,AU,mobile,True,4
135,10,US,mobile,True,4
136,14,CA,mobile,True,1
137,18,US,desktop,True,6
138,11,CA,mobile,True,5
139,22,FR,mobile,True,3
140,22,UK,mobile,True,0
141,9,US,mobile,False,8
142,13,UK,desktop,True,3
143,10,DE,mobile,True,5
144,9,UK,desktop,True,4
145,2,FR,desktop,False,5
146,16,CA,desktop,True,3
147,13,FR,mobile,True,0
148,4,CA,desktop,True,8
149,9,US,mobile,True,4
150,20,US,desktop,True,6
151,9,US,mobile,True,4
152,7,FR,mobile,False,8
153,13,DE,mobile,True,4
154,23,CA,desktop,True,9
155,9,US,mobile,True,1
156,17,US,mobile,True,2
157,18,DE,mobile,True,0
158,9,UK,desktop,True,5
159,18,US,desktop,True,4
160,11,CA,mobile,True,1
161,16,US,desktop,True,2
162,16,US,mobile,True,6
163,14,UK,mobile,True,4
164,6,US,desktop,True,1
165,19,AU,mobile,True,1
166,10,US,mobile,True,3
167,8,US,mobile,True,3
168,3,US,mobile,True,7
169,16,DE,mobile,True,5
170,17,UK,mobile,True,7
171,0,UK,mobile,True,3
172,14,US,mobile,True,2
173,9,US,mobile,True,4
174,17,UK,mobile,False,2
175,8,DE,mobile,True,6
176,17,FR,desktop,True,3
177,11,US,mobile,True,1
178,21,UK,desktop,True,4
179,7,FR,desktop,True,9
180,10,US,desktop,True,5
181,7,DE,mobile,True,3
182,21,US,mobile,True,4
183,20,FR,mobile,True,3
184,9,DE,desktop,True,4
185,17,FR,mobile,True,2
186,19,CA,desktop,True,6
187,15,US,desktop,True,7
188,14,FR,mobile,True,4
189,9,US,mobile,True,6
190,6,US,desktop,False,5
191,20,CA,mobile,True,2
192,20,DE,mobile,True,6
193,16,FR,desktop,True,5
194,10,US,mobile,True,3
195,10,DE,desktop,True,4
196,18,CA,desktop,True,4
197,20,US,desktop,True,5
198,20,US,mobile,True,2
199,18,US,mobile,True,2
200,17,US,mobile,True,6
201,6,AU,mobile,True,2
202,8,CA,mobile,True,1
203,20,CA,mobile,True,6
204,16,AU,mobile,True,4
205,0,US,mobile,True,4
206,6,DE,desktop,True,6
207,17,UK,mobile,True,1
208,0,FR,mobile,True,4
209,8,US,desktop,True,1
210,14,FR,tablet,True,1
211,17,US,mobile,True,2
212,17,US,mobile,True,2
213,9,DE,mobile,True,3
214,18,US,desktop,True,9
215,9,CA,desktop,True,9
216,10,UK,desktop,True,7
217,18,CA,mobile,True,4
218,17,US,mobile,True,2
219,19,US,mobile,True,0
220,17,US,desktop,True,2
221,15,UK,desktop,True,3
222,6,US,tablet,False,5
223,11,US,mobile,False,1
224,9,US,mobile,True,6
225,9,US,mobile,True,2
226,22,UK,desktop,True,3
227,11,FR,desktop,True,1
